episode_name|episode_link|episode_season
Grift of the Magi|https://simpsonswiki.com/wiki/Grift_of_the_Magi|11
Little Big Mom|https://simpsonswiki.com/wiki/Little_Big_Mom|11
Faith Off|https://simpsonswiki.com/wiki/Faith_Off|11
The Mansion Family|https://simpsonswiki.com/wiki/The_Mansion_Family|11
Saddlesore Galactica|https://simpsonswiki.com/wiki/Saddlesore_Galactica|11
Alone Again, Natura-Diddily|https://simpsonswiki.com/wiki/Alone_Again,_Natura-Diddily|11
Missionary: Impossible|https://simpsonswiki.com/wiki/Missionary:_Impossible|11
Pygmoelian|https://simpsonswiki.com/wiki/Pygmoelian|11
Bart to the Future|https://simpsonswiki.com/wiki/Bart_to_the_Future|11
Days of Wine and D'oh'ses|https://simpsonswiki.com/wiki/Days_of_Wine_and_D%27oh%27ses|11
Kill the Alligator and Run|https://simpsonswiki.com/wiki/Kill_the_Alligator_and_Run|11
Last Tap Dance in Springfield|https://simpsonswiki.com/wiki/Last_Tap_Dance_in_Springfield|11
It's a Mad, Mad, Mad, Mad Marge|https://simpsonswiki.com/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_Marge|11
Behind the Laughter|https://simpsonswiki.com/wiki/Behind_the_Laughter|11
Treehouse of Horror XI|https://simpsonswiki.com/wiki/Treehouse_of_Horror_XI|12
A Tale of Two Springfields|https://simpsonswiki.com/wiki/A_Tale_of_Two_Springfields|12
Insane Clown Poppy|https://simpsonswiki.com/wiki/Insane_Clown_Poppy|12
Lisa the Tree Hugger|https://simpsonswiki.com/wiki/Lisa_the_Tree_Hugger|12
Homer vs. Dignity|https://simpsonswiki.com/wiki/Homer_vs._Dignity|12
The Computer Wore Menace Shoes|https://simpsonswiki.com/wiki/The_Computer_Wore_Menace_Shoes|12
The Great Money Caper|https://simpsonswiki.com/wiki/The_Great_Money_Caper|12
Skinner's Sense of Snow|https://simpsonswiki.com/wiki/Skinner%27s_Sense_of_Snow|12
HOMЯ|https://simpsonswiki.com/wiki/HOM%D0%AF|12
Pokey Mom|https://simpsonswiki.com/wiki/Pokey_Mom|12
Worst Episode Ever|https://simpsonswiki.com/wiki/Worst_Episode_Ever|12
Tennis the Menace|https://simpsonswiki.com/wiki/Tennis_the_Menace|12
Day of the Jackanapes|https://simpsonswiki.com/wiki/Day_of_the_Jackanapes|12
New Kids on the Blecch|https://simpsonswiki.com/wiki/New_Kids_on_the_Blecch|12
Hungry, Hungry Homer|https://simpsonswiki.com/wiki/Hungry,_Hungry_Homer|12
Bye, Bye, Nerdie|https://simpsonswiki.com/wiki/Bye,_Bye,_Nerdie|12
Simpson Safari|https://simpsonswiki.com/wiki/Simpson_Safari|12
Trilogy of Error|https://simpsonswiki.com/wiki/Trilogy_of_Error|12
I'm Goin' to Praiseland|https://simpsonswiki.com/wiki/I%27m_Goin%27_to_Praiseland|12
Children of a Lesser Clod|https://simpsonswiki.com/wiki/Children_of_a_Lesser_Clod|12
Simpsons Tall Tales|https://simpsonswiki.com/wiki/Simpsons_Tall_Tales|12
Treehouse of Horror XII|https://simpsonswiki.com/wiki/Treehouse_of_Horror_XII|13
The Parent Rap|https://simpsonswiki.com/wiki/The_Parent_Rap|13
Homer the Moe|https://simpsonswiki.com/wiki/Homer_the_Moe|13
A Hunka Hunka Burns in Love|https://simpsonswiki.com/wiki/A_Hunka_Hunka_Burns_in_Love|13
The Blunder Years|https://simpsonswiki.com/wiki/The_Blunder_Years|13
She of Little Faith|https://simpsonswiki.com/wiki/She_of_Little_Faith|13
Brawl in the Family|https://simpsonswiki.com/wiki/Brawl_in_the_Family|13
Sweets and Sour Marge|https://simpsonswiki.com/wiki/Sweets_and_Sour_Marge|13
Jaws Wired Shut|https://simpsonswiki.com/wiki/Jaws_Wired_Shut|13
Half-Decent Proposal|https://simpsonswiki.com/wiki/Half-Decent_Proposal|13
The Bart Wants What It Wants|https://simpsonswiki.com/wiki/The_Bart_Wants_What_It_Wants|13
The Lastest Gun in the West|https://simpsonswiki.com/wiki/The_Lastest_Gun_in_the_West|13
The Old Man and the Key|https://simpsonswiki.com/wiki/The_Old_Man_and_the_Key|13
Tales from the Public Domain|https://simpsonswiki.com/wiki/Tales_from_the_Public_Domain|13
Blame It on Lisa|https://simpsonswiki.com/wiki/Blame_It_on_Lisa|13
Weekend at Burnsie's|https://simpsonswiki.com/wiki/Weekend_at_Burnsie%27s|13
Gump Roast|https://simpsonswiki.com/wiki/Gump_Roast|13
I Am Furious (Yellow)|https://simpsonswiki.com/wiki/I_Am_Furious_(Yellow)|13
The Sweetest Apu|https://simpsonswiki.com/wiki/The_Sweetest_Apu|13
Little Girl in the Big Ten|https://simpsonswiki.com/wiki/Little_Girl_in_the_Big_Ten|13
The Frying Game|https://simpsonswiki.com/wiki/The_Frying_Game|13
Poppa's Got a Brand New Badge|https://simpsonswiki.com/wiki/Poppa%27s_Got_a_Brand_New_Badge|13
Treehouse of Horror XIII|https://simpsonswiki.com/wiki/Treehouse_of_Horror_XIII|14
How I Spent My Strummer Vacation|https://simpsonswiki.com/wiki/How_I_Spent_My_Strummer_Vacation|14
Bart vs. Lisa vs. the Third Grade|https://simpsonswiki.com/wiki/Bart_vs._Lisa_vs._the_Third_Grade|14
Large Marge|https://simpsonswiki.com/wiki/Large_Marge|14
Helter Shelter|https://simpsonswiki.com/wiki/Helter_Shelter|14
The Great Louse Detective|https://simpsonswiki.com/wiki/The_Great_Louse_Detective|14
Special Edna|https://simpsonswiki.com/wiki/Special_Edna|14
The Dad Who Knew Too Little|https://simpsonswiki.com/wiki/The_Dad_Who_Knew_Too_Little|14
The Strong Arms of the Ma|https://simpsonswiki.com/wiki/The_Strong_Arms_of_the_Ma|14
Pray Anything|https://simpsonswiki.com/wiki/Pray_Anything|14
Barting Over|https://simpsonswiki.com/wiki/Barting_Over|14
I'm Spelling as Fast as I Can|https://simpsonswiki.com/wiki/I%27m_Spelling_as_Fast_as_I_Can|14
A Star Is Born Again|https://simpsonswiki.com/wiki/A_Star_Is_Born_Again|14
Mr. Spritz Goes to Washington|https://simpsonswiki.com/wiki/Mr._Spritz_Goes_to_Washington|14
C.E. D'oh|https://simpsonswiki.com/wiki/C.E._D%27oh|14
'Scuse Me While I Miss the Sky|https://simpsonswiki.com/wiki/%27Scuse_Me_While_I_Miss_the_Sky|14
Three Gays of the Condo|https://simpsonswiki.com/wiki/Three_Gays_of_the_Condo|14
Dude, Where's My Ranch?|https://simpsonswiki.com/wiki/Dude,_Where%27s_My_Ranch%3F|14
Old Yeller-Belly|https://simpsonswiki.com/wiki/Old_Yeller-Belly|14
Brake My Wife, Please|https://simpsonswiki.com/wiki/Brake_My_Wife,_Please|14
The Bart of War|https://simpsonswiki.com/wiki/The_Bart_of_War|14
Moe Baby Blues|https://simpsonswiki.com/wiki/Moe_Baby_Blues|14
Treehouse of Horror XIV|https://simpsonswiki.com/wiki/Treehouse_of_Horror_XIV|15
My Mother the Carjacker|https://simpsonswiki.com/wiki/My_Mother_the_Carjacker|15
The President Wore Pearls|https://simpsonswiki.com/wiki/The_President_Wore_Pearls|15
